title,link,summary,category
Fontaines D.C. Reimagine 'Cello Song' For Nick Drake Covers Album,https://www.rollingstone.com/music/music-news/fontaines-dc-nick-drake-cello-song-the-endless-coloured-ways-1234689116/,"The Endless Coloured Ways, out July 7, features 32 different renditions of Nick Drake songs from 32 different artists",First Season
Boygenius Take Fans on a Road Trip in Video for New Single 'Not Strong Enough',https://www.rollingstone.com/music/music-news/boygenius-not-strong-enough-video-1234689145/,"Phoebe Bridgers, Lucy Dacus, and Julien Baker hit up amusement parks and monster truck rallies in self-shot visual forThe Recordcut",Home Movies
Metallica Drop New Seven-Minute Epic 'If Darkness Had a Son',https://www.rollingstone.com/music/music-news/metallica-if-darkness-had-a-son-new-song-1234689011/,"After TikTok teases, band releases video for latest72 Seasonssingle in its entirety",🤘🤘🤘
Santa Fe Klan Brings His 'Mundo' to the U.S. With New 'Todo y Nada' Tour,https://www.rollingstone.com/music/music-news/santa-fe-klan-us-tour-dates-2023-1234687821/,Rappers Snow Tha Product and Tornillo are set to join the Mexican musician on the road,Exclusive
Kiss Announce 'Absolute Final Shows' of Their Farewell Tour,https://www.rollingstone.com/music/music-news/kiss-final-shows-farewell-tour-msg-1234688957/,The End of the Road Tour reaches its final destination this December with a two-night stand at New York's Madison Square Garden,Unmasked?
Rammstein Co-Signs Lizzo Covering 'Du Hast' With Full Band at Berlin Tour Stop,https://www.rollingstone.com/music/music-news/lizzo-covering-rammstein-du-hast-berlin-concert-1234688900/,"""Are you ready to go fucking crazy?"" Lizzo asked the audience",When in Germany
Justin Bieber Sparks Justice World Tour Cancellation Rumors After Quietly Removing Tickets,https://www.rollingstone.com/music/music-news/justin-bieber-officially-cancels-justice-world-tour-dates-1234688554/,"The singer previously postponed all remaining dates indefinitely, leaving fans and their money in limbo",Not Gonna Happen
"Blood, Sweat & Tears Talk Blackmail, Backlash, Infamous Iron Curtain Tour in New Doc Trailer",https://www.rollingstone.com/music/music-news/blood-sweat-and-tears-iron-curtain-tour-doc-trailer-1234688573/,"What the Hell Happened to Blood, Sweat & Tears?chronicles the band's notorious 1970 trip to Poland, Romania, and the former Yugoslavia",Back in the USSR
Big Thief Give New Song 'Vampire Empire' Its TV Debut on 'Colbert',https://www.rollingstone.com/music/music-news/big-thief-new-song-vampire-empire-colbert-1234688865/,Track has been mainstay on tour in support of 2022 LPDragon New Warm Mountain I Believe in You,Late-Night Jams
Kodak Black Ordered to Enter Drug Rehab Facility by Judge,https://www.rollingstone.com/music/music-news/kodak-black-ordered-enter-drug-rehab-facility-following-rolling-loud-1234688778/,"According to court records, the rapper tested positive for fentanyl in a drug test while awaiting trial on a drug trafficking charge",Test Results
Ed Sheeran Announces Final Mathematical-Themed Album 'Subtract',https://www.rollingstone.com/music/music-news/ed-sheeran-subtract-album-1234688629/,"""For the first time I’m not trying to craft an album people will like,"" Sheeran said. ""I’m merely putting something out that’s honest and true to where I am in my adult life""",Vulnerable End of Era
