artist,popularity,followers,genres,number_of_articles,positive_articles,negative_articles,average_sentiment_score
jon batiste,62,532625,new orleans jazz,8,6,0,0.20154220779220777
meryl streep,65,119034,"hollywood,show tunes",5,3,1,0.051515151515151514
john slattery,0,7,,1,1,0,1.5681818181818181
aespa,83,7316146,k-pop girl group,1,1,0,0.3261904761904762
pete davidson,35,8912,deep comedy,2,1,1,-0.008766233766233783
tim burgess,21,13393,"britpop,solo wave",1,0,1,-0.15000000000000002
jerry leiber,23,465,,1,1,0,0.6
billie joe armstrong,45,154147,,2,2,0,0.5431818181818182
hombres g,74,4585367,"latin alternative,latin pop,mexican pop,rock en espanol,spanish rock",1,0,0,0.0
liam payne,72,10250360,pop,28,19,7,0.16996270098948668
feels good,0,0,,1,1,0,0.4166666666666667
anita pallenberg,0,26,,1,1,0,0.3
meek mill,75,8029344,"hip hop,philly rap,pop rap,rap,southern hip hop,trap",1,1,0,0.04999999999999999
alice coltrane,47,205160,"afrofuturism,avant-garde jazz,free jazz,jazz harp,spiritual jazz",1,1,0,0.375
mac mccaughan,19,2600,chapel hill sound,1,1,0,1.2
caserta,7,462,boston electronic,1,0,1,-0.3555555555555556
roger daltrey,37,132658,"album rock,art rock",4,3,0,0.10984848484848483
sting,74,3521945,"permanent wave,soft rock,sophisti-pop",4,3,1,0.3163961038961039
desus,0,7,,1,0,0,0.0
david attenborough,24,8308,,1,0,0,0.0
teddy swims,87,3550744,,5,1,1,0.01948051948051948
willie nelson,72,2354438,"classic country pop,classic texas country,country,country rock,nashville sound,outlaw country,singer-songwriter",12,9,1,0.18702426046176046
katy kirby,38,34133,"bubblegrunge,indie pop,modern indie folk",1,0,0,0.0
taraji p. henson,29,1975,,4,3,1,0.18690340909090908
george winston,57,137703,"new age,new age piano",1,0,1,-0.06666666666666667
ice spice,75,4267866,bronx drill,6,5,1,0.32949434824434826
spaghettii,0,3,,1,0,1,-0.30000000000000004
gary wright,46,164637,"album rock,classic rock,soft rock,yacht rock",1,0,1,-0.07500000000000001
pj harvey,60,1133902,"alternative rock,art pop,melancholia,permanent wave,piano rock,singer-songwriter",1,0,1,-0.3
kirk franklin,64,1772968,"gospel,gospel r&b",3,0,1,-0.016666666666666666
lebron james,0,13,,3,2,1,0.17462121212121207
travis kelce,40,11119,,21,16,3,0.27171442314299454
neil young,70,3083188,"canadian singer-songwriter,classic canadian rock,classic rock,folk rock,mellow gold,permanent wave,rock,roots rock,singer-songwriter",30,22,7,0.13446827400994069
elon musk,25,5955,,2,0,1,-0.0625
john mayer,79,6096549,"neo mellow,singer-songwriter",23,15,7,0.18681614279440367
noah kahan,86,3655872,"pov: indie,singer-songwriter pop",8,3,3,0.1417613636363636
robert pollard,24,12856,"dayton indie,gbvfi,lo-fi,slacker rock",2,2,0,0.253030303030303
lil wayne,88,15793200,"hip hop,new orleans rap,pop rap,rap,trap",28,19,7,0.16564254363361508
perry farrell,39,43855,alternative rock,8,5,2,0.03780505952380952
latto,80,1848568,trap queen,9,6,1,0.18812530062530064
turnstile,59,581428,"hardcore punk,modern melodic hardcore",3,2,1,0.2967171717171717
kelsea ballerini,73,1233523,"contemporary country,country",2,1,1,0.12638888888888888
bernie taupin,26,2883,,1,1,0,0.6
frank turner,55,376149,"acoustic rock,folk punk",1,0,0,0.0
jamie scott,49,21524,uk pop,1,1,0,0.22564935064935066
andrea bocelli,73,2927440,"classical tenor,italian tenor,operatic pop",2,1,1,0.07294372294372294
ed stasium,0,0,,1,1,0,0.6888888888888889
bonnie mckee,43,74694,candy pop,2,1,1,-0.20416666666666666
saena,2,23,,1,1,0,0.16666666666666666
donna summer,65,2047761,"disco,hi-nrg,new wave pop,soft rock",5,4,1,0.2967965367965368
este haim,29,749,,1,1,0,0.9
bob dylan,75,6711254,"classic rock,country rock,folk,folk rock,rock,roots rock,singer-songwriter",27,18,7,0.21913246218801774
jackson wang,62,4212191,k-pop,2,2,0,0.44034090909090906
luther vandross,67,3350602,"quiet storm,soul",1,1,0,0.13636363636363635
dababy,80,12342138,"hip hop,north carolina hip hop,pop rap,rap,trap",3,1,1,0.009595959595959594
loretta lynn,58,804170,"classic country pop,country,country rock,nashville sound",4,2,0,0.4
chief keef,78,5333094,"chicago bop,chicago drill,chicago rap,drill,hip hop,rap,trap",2,1,1,0.047943722943722955
sharon van etten,57,545273,"art pop,chamber pop,indie rock,melancholia,new jersey indie,singer-songwriter",10,9,0,0.18475378787878788
doug ingle,0,22,,1,0,1,-0.20625000000000002
frankie valli,66,330907,"adult standards,bubblegum pop,lounge",1,1,0,0.375
aaron carter,43,342606,post-teen pop,6,2,4,-0.08514309764309765
john stamos,21,6433,,2,1,1,0.01428571428571429
bon jovi,80,14300043,"glam metal,rock",4,3,0,0.16477272727272727
harry nilsson,59,499194,"classic rock,folk,folk rock,singer-songwriter",1,0,1,-0.05
jack white,61,1382061,"alternative rock,blues rock,garage rock,garage rock revival,indie rock,modern blues rock,modern rock,punk blues,rock",12,7,0,0.1270596590909091
sarah kinsley,54,275720,"gen z singer-songwriter,indie pop",1,0,0,0.0
al green,67,2077594,"classic soul,funk,memphis soul,quiet storm,soul,soul blues,southern soul",1,1,0,0.65
matt berninger,46,90385,,3,2,1,0.15404040404040403
rap trap,0,10,,1,1,0,0.29675324675324677
james taylor,68,2708173,"classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",4,3,0,0.325
fifth harmony,70,16231319,"girl group,pop,talent show",2,2,0,0.18780438311688313
jagger,1,37,,1,1,0,0.1
retail therapy,0,6,,1,0,0,0.0
fran drescher,2,271,,1,0,0,0.0
tyla,78,2237053,,4,3,0,0.34659090909090906
warren haynes,47,144050,"blues rock,jam band,modern blues,southern rock",2,1,0,0.25
melanie martinez,79,21612496,"alt z,electropop,pop",4,3,0,0.14019886363636364
monica,65,2673811,"contemporary r&b,hip pop,r&b,urban contemporary",5,2,0,0.13854978354978356
metallica,84,29217450,"hard rock,metal,old school thrash,rock,thrash metal",14,7,6,0.13814162028447743
patti labelle,54,1032249,"contemporary r&b,philly soul,quiet storm,r&b,soul,urban contemporary",1,1,0,0.26666666666666666
louis tomlinson,68,7123223,pop,9,9,0,0.27644901394901394
danny elfman,67,454690,"orchestral soundtrack,soundtrack",3,2,1,0.3828282828282828
jeezy,72,2457363,"atl hip hop,crunk,dirty south rap,gangster rap,old school atlanta hip hop,rap,southern hip hop,trap",1,1,0,0.5
tokischa,71,1366262,"rap latina,trap dominicano",1,1,0,0.06818181818181818
manowar,58,1033802,"comic metal,hard rock,metal,power metal,speed metal,us power metal",1,1,0,0.15
saint levant,62,433857,palestinian hip hop,1,0,0,0.0
sean ono lennon,55,80498,beatlesque,1,1,0,0.5
jam master,2,189,,7,1,4,-0.17142857142857143
goldblum,0,19,,1,1,0,0.75
irv gotti,25,4551,,1,1,0,0.5
johnny depp,49,138359,hollywood,3,1,1,-0.011904761904761899
adam levine,73,1026200,deep talent show,1,0,1,-0.3107142857142857
luke bryan,77,8963505,"contemporary country,country,country road,modern country rock",3,1,2,-0.15692640692640694
lainey wilson,76,984703,"contemporary country,modern country pop",6,5,0,0.3674603174603175
rob cavallo,1,207,,1,0,1,-0.09047619047619049
gloss up,46,81725,memphis hip hop,1,0,1,-0.3730639730639731
miranda lambert,69,3629101,"contemporary country,country,country dawn,country road",5,3,2,0.2067222222222222
blink-182,79,8673979,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk",3,2,0,0.10757575757575756
til dawn,2,35,,3,3,0,0.42343434343434344
john mcvie,13,26,,1,1,0,0.26666666666666666
ryan lewis,72,2161,,2,1,1,-0.02857142857142861
frankie beverly,53,91546,quiet storm,1,0,1,-0.2
charlie wilson,66,1147843,"contemporary r&b,r&b,urban contemporary",4,3,1,0.2821969696969697
nomad,30,23188,5th gen k-pop,1,1,0,0.3142857142857143
buzzcut,0,0,,1,1,0,1.1285714285714286
david gilmour,62,1961319,"album rock,art rock,classic rock,progressive rock,symphonic rock",8,4,4,0.015165043290043291
corgan,7,267,,2,2,0,0.5942550505050506
lineup,29,148,,2,1,1,0.3257575757575758
grateful dead,67,1908302,"cosmic american,jam band,psychedelic rock",3,2,1,0.09999999999999998
bryan freedman,0,37,,1,1,0,0.7111111111111111
mary weiss,4,1117,,1,1,0,0.04999999999999999
mary j. blige,73,4025199,"dance pop,hip pop,neo soul,r&b,urban contemporary",14,8,2,0.22061688311688313
steve earle,60,302464,"alternative country,classic texas country,country rock,folk,heartland rock,outlaw country,roots rock,singer-songwriter",1,1,0,0.5
sinéad o'connor,65,1297845,"lilith,new wave pop,singer-songwriter",7,1,4,-0.06823593073593073
les binks,0,17,,1,1,0,0.11767676767676767
pearl jam,77,9215092,"alternative metal,alternative rock,classic rock,grunge,hard rock,permanent wave,rock",8,1,4,-0.055303030303030305
rivers cuomo,55,48413,alternative rock,1,1,0,0.16666666666666666
femi kuti,37,69755,"afrobeat,afropop,world",1,1,0,0.31666666666666665
bill lee,49,2325,movie tunes,1,0,1,-0.15000000000000002
tame impala,81,8377973,"australian psych,modern rock,neo-psychedelic,rock",3,1,2,-0.028860028860028863
michael douglas,17,886,batidao romantico,1,1,0,0.5
till lindemann,57,286483,,1,0,1,-0.07692307692307693
jesse jo stark,43,90086,la indie,1,0,1,-0.1
remi wolf,68,565475,"indie pop,modern alternative pop",9,5,0,0.1156926406926407
stephen colbert,19,4518,,5,3,2,0.1176969696969697
diana ross,66,1959466,"adult standards,disco,motown,quiet storm,soft rock,soul",6,5,1,0.23834776334776334
flo milli,74,1303690,viral rap,6,5,0,0.3282738095238095
kim deal,51,32618,,1,0,0,0.0
dolly parton,76,2680258,"classic country pop,country,country dawn",12,11,1,0.26252405002405
charlieonnafriday,64,395486,singer-songwriter pop,1,1,0,0.1
jonny greenwood,47,178826,"british contemporary classical,british soundtrack,compositional ambient",3,3,0,0.23558802308802307
death,39,104575,"black punk,detroit rock,protopunk",1,1,0,0.5515151515151515
joe rogan,37,159242,deep comedy,1,1,0,0.1
james blake,71,1503203,"art pop,indie soul,indietronica,uk alternative pop",9,6,1,0.18535353535353538
daniel seavey,56,165917,"singer-songwriter pop,social media pop,teen pop",2,1,1,0.3130952380952381
britney spears,83,15687467,"dance pop,pop",1,1,0,0.03333333333333333
peter jackson,24,5547,slow game,3,1,1,0.07166666666666667
lil yachty,80,10359737,"atl hip hop,melodic rap,rap,trap",11,6,3,0.12925275482093665
mark knopfler,64,1652508,soft rock,1,0,1,-0.07142857142857142
tommy clufetos,0,122,,2,1,1,-0.05000000000000002
superpower,35,128,,1,0,0,0.0
mötley crüe,72,5429926,"album rock,alternative metal,glam metal,hard rock,metal,rock,sleaze rock",3,1,1,-0.07500000000000001
joanna newsom,38,126463,"chamber folk,chamber pop,harp,new weird america",2,2,0,0.43207070707070705
jewel,59,811270,"alaska indie,ectofolk,lilith,permanent wave,pop rock,singer-songwriter",3,1,2,-0.23333333333333336
geddy lee,30,37422,,4,2,2,0.1634469696969697
ap,38,2298,,1,1,0,0.2662878787878788
vybz kartel,68,1620357,"dancehall,jamaican dancehall,reggae fusion",1,0,0,0.0
christina aguilera,80,8642646,"dance pop,pop",11,8,3,0.2505739210284665
skittles,24,4080,manchester hip hop,1,0,0,0.0
lauren jauregui,52,1274054,r&b,5,5,0,0.3933982683982684
